%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.attitude,field.utm_easting,field.utm_northing,field.quality
1582906606042684956,4686,1582906606042128086,,42.338769135,-71.0847552317,4.205,328260.737946,4689495.32714,4
1582906606244989046,4687,1582906606244438886,,42.338770645,-71.0847573967,4.179,328260.5637,4689495.49919,4
1582906606446294784,4688,1582906606445776939,,42.3387721283,-71.0847600883,4.136,328260.345993,4689495.66934,4
1582906606645027345,4689,1582906606643263101,,42.33877384,-71.0847623667,4.209,328260.162959,4689495.86401,4
1582906606845028050,4690,1582906606843868017,,42.3387752617,-71.0847644183,4.235,328259.997809,4689496.02602,4
1582906607050322488,4691,1582906607049128055,,42.33877674,-71.0847669467,4.211,328259.793544,4689496.19528,4
1582906607251507787,4692,1582906607250968933,,42.338778135,-71.0847692783,4.216,328259.605255,4689496.3549,4
1582906607449326472,4693,1582906607447817087,,42.3387795883,-71.08477168,4.189,328259.411357,4689496.52113,4
1582906607650504445,4694,1582906607649287939,,42.3387811433,-71.08477411,4.236,328259.215402,4689496.69871,4
1582906607839238263,4695,1582906607838460922,,42.3387827817,-71.0847764617,4.222,328259.026128,4689496.88538,4
1582906608042724715,4696,1582906608041115045,,42.33878446,-71.0847789367,4.187,328258.826801,4689497.07675,4
1582906608242568929,4697,1582906608241940975,,42.3387861567,-71.0847813267,4.194,328258.634527,4689497.26998,4
1582906608444490056,4698,1582906608443788051,,42.3387876033,-71.0847836533,4.195,328258.44679,4689497.43532,4
1582906608645113240,4699,1582906608643910884,,42.33878912,-71.084786205,4.18,328258.240708,4689497.60888,4
1582906608843769248,4700,1582906608843126058,,42.3387908217,-71.0847885067,4.201,328258.055725,4689497.80249,4
1582906609051323795,4701,1582906609049557924,,42.3387923933,-71.0847906917,4.191,328257.879999,4689497.98143,4
1582906609253810986,4702,1582906609252775907,,42.338794055,-71.0847930683,4.21,328257.688728,4689498.17074,4
1582906609444877218,4703,1582906609444062948,,42.3387957567,-71.0847954417,4.21,328257.497841,4689498.36449,4
1582906609643921548,4704,1582906609643387079,,42.3387972417,-71.0847979583,4.167,328257.294556,4689498.53447,4
1582906609848076282,4705,1582906609846786975,,42.3387988333,-71.0848004383,4.202,328257.094582,4689498.71622,4
